QuantumBadger/RedReader
OPENNETWORKINGLAB/onos
spring-projects/spring-integration-aws
edwardcapriolo/nibiru
spotify/cassandra-reaper
expectedbehavior/gauges-android
syncthing/syncthing-android
marcusklang/wikiforia
swagger-api/swagger-parser
augustt198/lumen
xvik/generics-resolver
apache/drill
tech-advantage/sonar-gerrit-plugin
totalvoidness/cryptomator
cforlando/bike-orlando-android
jprante/elasticsearch-plugin-bundle
jodastephen/property-alliance
ic3fox/jawr-main-repo
haifengl/smile
englishtown/vertx-jersey
SoftInstigate/restheart
eclipsesource/J2V8
InfinityRaider/AgriCraft
revapi/revapi
theDazzler/droidicon
cecom/pomutils
VRL-Studio/VRL
siosio/DomaSupport
WhisperSystems/WebSocket-Resources
greghaskins/spectrum
serenity-bdd/serenity-jbehave
divolte/divolte-collector
wildfly-extras/wildfly-camel
prometheus/jmx_exporter
softlayer/softlayer-java
pac4j/pac4j
contentful/contentful-management.java
larsgrefer/android-library
takari/takari-smart-builder
niclashoyer/neo4j-sparql-extension
urandom/gearshift
yahoo/artifactory_ssh_proxy
Apereo-Learning-Analytics-Initiative/OpenDashboard
meltmedia/dropwizard-crypto
exteso/alf.io
tracee/tracee
vert-x3/vertx-rx
bodiam/markdown-to-asciidoc
TeamBliss-LP/android_frameworks_base
heroku/heroku-maven-plugin
Co0sh/BetonQuest
spring-projects/spring-integration-kafka
serenity-bdd/serenity-cucumber
zillabyte/motherbrain
mapzen/open
project-ncl/pnc
petitparser/java-petitparser
novoda/sqlite-analyzer
google/firing-range
liaohuqiu/android-cube-app
novoda/sqlite-provider
neokree/MaterialNavigationDrawer
h2oai/h2o-dev
spring-projects/spring-integration-java-dsl
rancherio/cattle
davidsowerby/krail
Netflix/ocelli
ypresto/android-transcoder
reinert/requestor
Netflix/Raigad
pedrovgs/Algorithms
novoda/simple-easy-xml-parser
Graphify/graphify
passy/scdl
ksoichiro/Android-ObservableScrollView
Netflix/Prana
real-logic/Agrona
real-logic/Aeron
GumTreeDiff/gumtree
serenity-bdd/serenity-core
FenixEdu/fenixedu-academic
greenrobot/greenrobot-common
aceleradora6-tw/RegistroLivre
fabric8io/quickstarts
wildflyext/wildfly-camel
google/uribeacon
google/thread-weaver
iheartradio/open-m3u8
midonet/midonet
wix/petri
google/guava
jparkie/GivesMeHopeAndroidClient
ColdSauce/Captor
holodeck-b2b/Holodeck-B2B
operasoftware/operaprestodriver
arangodb/arangodb-java-driver
Netflix/dyno
HotelsDotCom/plunger
mariogrip/octodroid
SkymindIO/deeplearning4j
jagornet/dhcp
PayPal/PayPal-Java-SDK
arquillian/arquillian-cube
awslabs/aws-dynamodb-encryption-java
yandex-qatools/hamcrest-pojo-matcher-generator
simon-heinen/SimpleUi
simpligility/android-maven-plugin
Jimmy-Shi/bean-query
michaelwittig/java-q
vert-x3/service-proxy
torodb/torodb
akquinet/vaadinator
google/rich-test-results
tmullender/ansible-maven-plugin
spring-guides/deprecate-tut-rest
apache/incubator-reef
shazam/fork
WuXiaolong/WeWin
Conductor/kangaroo
klinker24/Talon-for-Twitter
yongjhih/drupalfit
schema-repo/schema-repo
outbrain/gruffalo
jubeio/jube
ntoskrnl/AndroidWidgets
jooby-project/jooby
RPTools/maptool
ESAPI/esapi-java-legacy
dangdangdotcom/config-toolkit
blockchain/api-v1-client-java
apache/incubator-calcite
hansenji/pocketknife
googlesamples/android-Interpolator
Vincentyification/JavaBot
tomaswolf/gerrit-gitblit-plugin
cesquivias/mumbler
googlesamples/android-ActivitySceneTransitionBasic
simpligility/android-ndk-maven-plugin
oswetto/Loboevolution
bodar/totallylazy
talenguyen/PrettySharedPreferences
subchen/jetbrick-template-1x
danielnorberg/auto-matter
subchen/jetbrick-template-2x
imglib/imglib2
Yubico/java-u2flib-server
SecrecySupportTeam/secrecy
palantir/stash-codesearch-plugin
yahoo/xpath_proto_builder
dpreussler/jodamoblog
ConnectSDK/Connect-SDK-Android-Core
immutables/immutables
basis-technology-corp/tcl-regex-java
HubSpot/jinjava
dswarm/dswarm
google/google-authenticator-android
venmo/android-pin
inductiveautomation/opc-ua-stack
welovecoding/editorconfig-netbeans
droidstealth/droid-stealth
rsteckler/unbounce-android
gary-rowe/hid4java
codeine-cd/codeine
OnlyInAmerica/BLEMeshChat
conveyal/gtfs-data-manager
entando/entando-components
JetBrains/teamcity-azure-plugin
matrix-org/matrix-android-sdk
Stratio/flume-ingestion
Stratio/streaming-cep-engine
NLPchina/ansj_seg
Graphity/graphity-client
Stratio/deep-spark
weefbellington/screenplay
graphaware/neo4j-reco
vongosling/dependency-mediator
Stratio/crossdata
project-flink/flink-graph
FlexTradeUKLtd/jfixture
takari/takari-lifecycle
squeek502/ASMHelper
warnyul/fast-video-view
Accla/d4m_api_java
icode/ameba
halysongoncalves/PugNotification
cloud-software-foundation/c5
tesis-dynaware/graph-editor
andsel/moquette
google/identity-toolkit-java-client
dpaukov/combinatoricslib
sitewhere/sitewhere
onepf/OPFPush
cloud-software-foundation/c5-replicator
statefulj/statefulj
fcrepo3/gsearch
outbrain/Aletheia
Viscent/JavaConcurrencyPattern
caskdata/netty-http
usc-isi-i2/Web-Karma
subchen/jetbrick-webmvc
ganshane/shakey
taichi/siden
greenmail-mail-test/greenmail
googlesamples/android-BasicSyncAdapter
WASdev/standards.jsr352.jbatch
drankye/haox
ToxicBakery/BikeOrlando
SpoutDev/Vanilla
ushahidi/platform-android
roboconf/roboconf-platform
donnemartin/photogallery
ArcBees/gwtquery
fesh0r/fernflower
btrplace/scheduler
Comcast/cats
aparapi/aparapi
google/cap-library
linkedin/Cubert
percolate/caffeine
lumifyio/securegraph
soarcn/BottomSheet
octo-online/reactive-audit
JasonRuckman/sidney
GoogleCloudPlatform/appengine-pipelines
tomcashman/metrics-elasticsearch
highsource/jaxb2-basics
caskdata/tephra
asebak/UI5-IntelliJ-Plugin
google/physical-web
fengdai/AlertDialogPro
OpenSOC/opensoc-streaming
aolshevskiy/songo
InstantWebP2P/node-android
NirmataOSS/workflow
ivanceras/orm
Realm/realm-java
feroult/yawp
wb14123/bard
brettwooldridge/HikariJSON
jordw/heftydb
vbence/stream-m
LapisBlue/Pore
rastating/DroidBeard
spring-cloud/spring-cloud-cluster
abel533/ECharts
se-bastiaan/PopcornTimeRemote-Android
berlinmeshnet/cjdns-android
SpongePowered/Artemis
ReactiveX/RxJavaMath
bitcoin-solutions/multibit-hardware
TDesjardins/GWT-OL3-Playground
spring-cloud/spring-cloud-cli
alaisi/postgres-async-driver
headwirecom/aem-solr-search
austinv11/Thaumic-NEI
ContinuumIO/nutchpy
jwtk/jjwt
psaravan/JamsMusicPlayer
OhmData/c5-replicator
hiteshsondhi88/ffmpeg-android-java
intercom/intercom-java
square/burst
spring-cloud/spring-cloud-config
OpenTOSCA/container
xvik/dropwizard-guicey
Ecwid/consul-api
BlueBrain/bluima
LapisBlue/Commons
payara/Payara
mahmoudparsian/data-algorithms-book
radcortez/wow-auctions
AChep/HeadsUp
springer-opensource/omelet
matiwinnetou/spring-soy-view
AppliedEnergistics/Applied-Energistics-2
thm-projects/arsnova-backend
caskdata/cdap
caskdata/coopr
bryanreinero/Firehose
MCTCP/TerrainControl
PGWelch/com.opendoorlogistics
zk1931/jzab
paukiatwee/budgetapp
idok/jscs-plugin
sk89q/Eduardo
sd4324530/fastweixin
dschulten/hydra-java
ReactiveX/RxSwing
ReactiveX/RxJavaJoins
OpenHFT/Chronicle-Queue
odiszapc/nginx-java-parser
scopely/fontain
spring-projects/spring-sync
vinumeris/lighthouse
stickfigure/objectify-insight
andytill/erlyberly
digitalbuddha/AndroidStarter
vibe-project/vibe-java-server
SkymindIO/nd4j
emmaguy/clean-status-bar
vincentbrison/android-easy-cache
nirmal070125/KubernetesAPIJavaClient
elibom/jogger
SpringOne2GX-2014/microservice-security
USC-NSL/PUMA
OneDrive/onedrive-picker-android
AzureAD/azure-activedirectory-library-for-java
Instagram/ig-json-parser
spring-cloud/spring-cloud-connectors
openmhealth/omh-shims
dita4publishers/dita4publishers
cymcsg/UltimateAndroid
spotify/crtauth-java
libgdx/gdx-ai
googlesamples/android-FloatingActionButtonBasic
paksv/teamcity-azure-plugin
exzhawk/wailanbt
zafarkhaja/jsemver
ReactiveX/RxJavaString
andrewgaul/modernizer-maven-plugin
krschultz/AndroidWeatherBuoyDemo
bither/bitherj
davidmoten/rtree
mulesoft-labs/quartz-mongodb
pushtorefresh/bamboo-storage
ReactiveX/RxJavaReactiveStreams
scriptella/scriptella-etl
KengoTODA/findbugs-slf4j
sequenceiq/periscope
awslabs/aws-sdk-java-resources
Qkyrie/Twitch
tsagi/JekyllForAndroid
nulab/backlog4j
vogellacompany/eclipse4book
googlemaps/google-maps-services-java
jurmous/etcd4j
pantsbuild/intellij-pants-plugin
SpongePowered/Sponge
forcedotcom/SalesforceMobileSDK-CordovaPlugin
GlowstoneMC/Glowstone
PayPal/SeLion
mulesoft/raml-for-jax-rs
SpongePowered/SpongeAPI
GrammarViz2/grammarviz2_src
OfficeDev/ews-java-api
astefanutti/camel-cdi
codelibs/elasticsearch-dynarank
apache/storm
SudoPlayGames/Joise
Talend/tdi-studio-se
byoutline/OttoCachedField
bitcoin-solutions/multibit-website
phax/ph-css
gustavomondron/twik
NLPchina/elasticsearch-sql
highsource/jsonix-schema-compiler
mcupak/beacon-of-beacons
bjornharrtell/jdbc-http-server
virgo47/javasimon
adrianchifor/Swiftnotes
highsource/jaxb2-annotate-plugin
numenta/htm.java
chanjarster/weixin-java-tools
lyogavin/Pistachio
google/error-prone
awslabs/aws-ant-tasks
stephanenicolas/injectview
tokuhirom/avans
KengoTODA/what-is-maven
vsima/uber-java-client
knightliao/hermes-jsonrpc
relayr/android-sdk
CalebFenton/simplify
ReactiveX/RxNetty
tabulapdf/tabula-java
ClickTravel/Cheddar
poetix/protonpack
ReactiveX/RxAndroid
ReactiveX/RxJava
caelum/vraptor-panettone
wmora/snackbar
nitram509/jmacaroons
senbox-org/s1tbx
Unidata/awips2
Cardshifter/Cardshifter
sd6352051/NiftyNotification
nhatminhle/cofoja
michaelklishin/hop
OpenHFT/Koloboke
lightblue-platform/lightblue-core
manfenixhome/RightUtils
sk89q/Intake
jivesoftware/jive-selenium-pages-framework
hdweiss/mOrgAnd
pwittchen/NetworkEvents
square/pagerduty-incidents
gonmarques/cdi-properties
SomMeri/matasano-cryptopals-solutions
jparyani/wave
BurstProject/burstcoin
thheller/shadow-pgsql
bitcoin-solutions/multibit-hd
OrbitzWorldwide/consul-client
indexiatech/antiquity
methusalah/Draaxben
rapidftr/RapidFTR-Android
bozaro/git-as-svn
PasaLab/Tachyon-Perf
sanity/quickml
thechunknetwork/RedisBungee
mirkosertic/FXDesktopSearch
zeapo/Android-Password-Store
iluwatar/java-design-patterns
spencerwi/hamcrest-jdk8-time
bparmentier/OpenBikeSharing
jitsi/jigasi
fernandodev/easy-rating-dialog
Kurento/kurento-java
bitfireAT/cadroid
tim-group/test-driven-detectors4findbugs
ligi/AJShA
jmrozanec/cron-utils
OutSystems/OutSystemsNow-Android
xerial/sqlite-jdbc
ehcache/ehcache3
Diolor/Swipecards
vert-x3/vertx-groovy
bardsoftware/ganttproject
dropwizard/dropwizard-protobuf
graphaware/neo4j-uuid
Cascading/fluid
pmarches/jStellarAPI
spring-projects/spring-test-htmlunit
HubSpot/Rosetta
mobile-event-processing/Asper
squarespace/jersey2-guice
graphaware/neo4j-noderank
levigo/jbig2-imageio
renekrie/querqy
Adobe-Marketing-Cloud/aem-eclipse-developer-tools
41concepts/VALJOGen
dibbhatt/kafka-spark-consumer
mini2Dx/mini2Dx
loldevs/riotapi
shamanland/floating-action-button
harishreedharan/usingflumecode
murraycu/android-galaxyzoo
mongobee/mongobee
emmasuzuki/EspressoSpoonDemo
docopt/docopt.java
flexiblepower/powermatcher
Baqend/Orestes-Bloomfilter
casidiablo/multidex
dropwizard/dropwizard-java8
nohana/Caladbolg
cbitstech/Purple-Robot
SurveyMan/SurveyMan
srikalyc/Sql4D
Universal-Electricity/ICBM
RentTheRunway2/alchemy
247687009/soa
tuenti/ButtonMenu
JD-Software/JDeSurvey
AltBeacon/android-beacon-library
serso/android-checkout
KronicDeth/intellij-elixir
Pragmatists/junitparams
pietermartin/sqlg
TwidereProject/Twidere-Android
fireduck64/jelectrum
andrewgaul/s3proxy
go-ive/steam-api
junkdog/entity-system-benchmarks
saurabhsjoshi/VITacademics-for-Android
VHAINNOVATIONS/InfoButtons-182
alexanderdean/Unified-Log-Processing
eXparity/hamcrest-date
RSenApps/Commandr-Android
techdev-solutions/trackr-backend
OryxProject/oryx
commons-rdf/commons-rdf
OpenSilk/Orpheus
JDatePicker/JDatePicker
freenet/plugin-Freetalk
freenet/plugin-WebOfTrust
stephenostermiller/qqwing
jlinn/quartz-redis-jobstore
readydev/retrogram
miho/JCSG
cognitect/transit-java
calipho-sib/nextprot-api
AdoptOpenJDK/mjprof
OpenHFT/hftc
WhisperSystems/Flock
groupon/jesos
googleads/google-media-framework-android
grzegorznittner/chanu
Firebase/geofire-java
spring-platform-samples/eureka
RoyalDev/TheHumanity
freenet/fred
kristian-lange/MechArg
guikeller/jetty-runner
sockeqwe/fragmentargs
Esri/arcgis-runtime-demos-android
EsmerilProgramming/cloverx
vdenotaris/spring-boot-security-saml-sample
hogelog/line-chart-view
nusco/narjillos
kaazing/robot
sindicetech/siren
clarkparsia/stardog-examples
OpenHFT/Chronicle-Map
pumadong/cl-privilege
ehcache/sizeof
jprante/log4j2-elasticsearch
nightscout/android-uploader
sequenceiq/cloudbreak
holgerbrandl/r4intellij
fluo-io/fluo
yfain/java24hourtrainer2ndedition
quemb/QMBForm
sneerteam/sneer
IBM-Bluemix/todo-apps
xored/yang-ide
Hive2Hive/PeerBox
whois-server-list/public-suffix-list
theupswell/appengine-counter
AzureAD/azure-activedirectory-library-for-android
openhab/jmdns
square/assertj-android
codelibs/elasticsearch-reindexing
jmockit/jmockit1
artem-zinnatullin/android-wail-app
vert-x3/codegen
documents4j/documents4j
Linfar/TeamCity.SonarQubePlugin
ruediste1/btrbck
mifmif/Generex
pprados/audit-reactive
EugeneKay/subsonic
google/openrtb-doubleclick
Azure/azure-notificationhubs-samples
mulesoft/jaxrs-to-raml
kairosdb/kairosdb-client
lenskit/lenskit
google/u2f-ref-code
oodrive/eguan
wso2/balana
google/guice
DABSquared/gitlab-plugin
shamanland/xdroid
pilehvar/ADW
ikarienator/pure-idea
pedrovgs/EffectiveAndroidUI
freemarker/fmpp
kennycason/kumo
Plaid/plaid-java
wendykierp/JTransforms
rahulkumar2048/Performance-Tweaker
chanjarster/tomcat-mongo-access-log
kairosdb/kairosdb
open-eid/digidoc4j
finn-no/cassandra-hadoop
dashbuilder/dashbuilder
camunda/camunda-bpm-webapp
wildfly/wildfly-core
dev9com/parallel-webtest
dvorka/keepass2-to-keepassx
oyachai/HearthSim
strongloop/loopback-sdk-android
v5developer/maven-framework-project
naver/volley-extensions
neuroph/master
xvik/guice-ext-annotations
tiagobento/watertemplate-engine
anthonycr/Thunder-Browser
mscharhag/oleaster
ngageoint/anti-piracy-android-app
mesos/storm
opener-project/ner-base
OpenClinica/OpenClinica
Stratio/stratio-ingestion
coinbase/coinbase-java
Kixeye/chassis
googlesamples/android-Camera2Basic
uwescience/myria
googlesamples/android-JobScheduler
googlesamples/android-ElevationDrag
googlesamples/android-NavigationDrawer
googlesamples/android-ElevationBasic
naver/ngrinder
naver/yobi
orientechnologies/orientdb-etl
spotify/docker-maven-plugin
idok/eslint-plugin
danmbox/briss2
jamesagnew/hapi-fhir
kuenishi/presto-riak
google/domaintest
searchisko/elasticsearch-river-sysinfo
jmeter-maven-plugin/jmeter-maven-plugin
hsz/idea-gitignore
gosu-lang/gosu-lang
Talend/tcommon-studio-se
xvik/guice-validator
ObeoNetwork/UML-Designer
hal/circuit
HubTurbo/HubTurbo
daimajia/AndroidViewAnimations
Clashsoft/Dyvil
gridkit/nanocloud
SnippingToolPlusPlus/SnippingToolPlusPlus
hadooparchitecturebook/hadoop-arch-book
ni3po42/traction.mvc
ethereum/ethereumj
jMetal/jMetal
neo4j-contrib/graph-collections
allanbank/mongodb-async-driver
spring-projects/spring-session
tchoulihan/bitpieces_practice
google/truth
pschirmacher/webster
jbachorik/btrace
iilab/PanicButton
BranchMetrics/Branch-Android-SDK
groupon/odo
palominolabs/jvm-ssh-groovy-shell
opentok/opentok-android-sdk-samples
etsy/Conjecture
Netflix-Skunkworks/WSPerfLab
Apereo-Learning-Analytics-Initiative/LearningAnalyticsProcessor
PhantomYdn/wicket-orientdb
libgdx/ashley
MyEssentials/MyTown2
InkApplications/android-preferences
stephanenicolas/mimic
liftsecurity/burpbuddy
jelkosz/Kanbanik
databricks/learning-spark
TechCavern/WaveTact
darcy-framework/darcy-ui
wuic/wuic
komamitsu/jackson-dataformat-msgpack
eclipse-jetty/eclipse-jetty-plugin
wxlfight/Alice-Robot
mulesoft-labs/rhinodo
akarnokd/ixjava
podcastpedia/podcastpedia-web
ObsidianBox/Obsidian
venmo/cursor-utils
lumifyio/lumify
gfx/Android-EncryptUtils
udacity/ud859
tesseradata/RHIPE
infiniteautomation/modbus4j
yammer/breakerbox
MiniJavaCompiler/MiniJavaLLVM
att/XACML
structurizr/java
kwon37xi/hibernate4-memcached
matlux/jvm-breakglass
manuzhang/storm-benchmark
Sotera/distributed-graph-analytics
Kixeye/kixmpp
fasteque/rgb-tool
eclipse/californium.scandium
netplex/json-smart-v1
netplex/json-smart-v2
ebay/oink
lestard/advanced-bindings
codelibs/elasticsearch-cluster-runner
WebGoat/WebGoat
vladmihalcea/hibernate-master-class
ruby-concurrency/thread_safe
lqd-io/liquid-sdk-android
tectonicus/tectonicus
fcrepo3/fcrepo
pac4j/vertx-pac4j
jimmoores/quandl4j
spotify/helios
ZK-1931/javazab
dave-ellis/gradle-swagger-plugin
igniterealtime/jxmpp
AndroidHooker/hooker
Tillerino/Tillerinobot
getsentry/raven-java
spotify/docker-client
frankiesardo/auto-parcel
wildfly-security/wildfly-elytron
laco0416/SmileEssence
xtreemfs/babudb
sequenceiq/cloudbreak-shell
Kixeye/janus
apache/stratos
xtreemfs/xtreemfs
snakerflow/snakerflow
red5/red5-websocket
christoffer/pycharm-pyxl
spearal/spearal-java
ElectronicChartCentre/java-vector-tile
daimajia/AndroidImageSlider
TannerPerrien/picasso-transformations
l3nz/ObjectiveSync
timtiemens/secretshare
timolson/cointrader
knightliao/disconf
willowtreeapps/saguaro
sephiroth74/android-target-tooltip
JCTools/JCTools
apache/incubator-blur
jayway/powermock
apache/incubator-brooklyn
squeek502/SpiceOfLife
caoxinyu/RedisClient
semihsalihoglu/graft
jbruchanov/AnUitor
zutherb/AppStash
DeemOpen/zkui
yinglovezhuzhu/bitmaploader
CubeEngine/core
thatJavaNerd/JRAW
nguyenq/tess4j
tomsteele/burpbuddy
tuenti/SmsRadar
uwolfer/gerrit-rest-java-client
openhab/openhab2
xaguzman/pathfinding
ceph/cephfs-hadoop
sanjivsingh/stackoverflow-java-sdk
flipkart-incubator/foxtrot
giovibal/vertx-mqtt-broker-mod
yesnault/PlayStartApp
GoogleCloudPlatform/bigdata-interop
remibantos/jeeshop
nhl/link-rest
ArcBees/gwtquery-tooltip-plugin
Azure/azure-storage-android
Eldelshell/jongo
jvirtanen/nassau
reines/dropwizard-debpkg-maven-plugin
Appendium/flatpack
Stratio/stratio-streaming
ranjan-rk/restfiddle
MCServerTools/ServerTools-CORE
apache/olingo-odata4
apache/olingo-odata2
Archarithms/bigio
amutu/tdw
fullcontact/hadoop-sstable
petrs/JCAlgTest
quickfix-j/quickfixj
SimonVT/schematic
Codecademy/EventHub
nurkiewicz/java8-workshop
fhoeben/hsac-fitnesse-fixtures
exoplatform/mobile-android
EmirWeb/liason
NFSdb/nfsdb
groupon/DotCi
Stratehm/stratum-proxy
Flow/React
Triple-T/simpleprovider
foxinmy/weixin4j
sttc/stateful
Wolfgang-Schuetzelhofer/jcypher
emicklei/rendersnake
ToastShaman/dropwizard-auth-jwt
MilkBowl/VaultAPI
seagate/kinetic-java
netizen539/civcraft
