Project,Count_packages,LOC,Avg_LOC,Pareto_category,Language
7Pass_7Pass-Remake,25,7379,53.86131387,20,cs
Aaronontheweb_helios,45,24104,75.79874214,20,cs
Aaronontheweb_qdfeed,4,2139,46.5,30,cs
Abc-Arbitrage_Zebus,46,14759,45.97819315,10,cs
adammhaile_Elpis,31,21685,93.06866953,20,cs
AdamsLair_treeviewadv,5,9115,100.1648352,30,cs
adamyeager_PushbulletSharp,10,4471,48.07526882,30,cs
AdaptiveConsulting_ReactGraph,9,2486,27.31868132,20,cs
aegif_CmisSync,11,19242,213.8,30,cs
affandar_durabletask,33,26660,91.30136986,20,cs
akkadotnet_akka.net,145,211471,71.05880376,10,cs
AndresTraks_BulletSharp,34,20642,135.8026316,10,cs
andyfmiller_LtiLibrary,14,9228,59.53548387,20,cs
appium_appium-dotnet-driver,25,8706,59.2244898,20,cs
ArcticEcho_Phamhilator,9,2511,71.74285714,10,cs
arenanet_socknet,15,9438,121,30,cs
ArxOne_MrAdvice,43,15467,61.13438735,20,cs
ashmind_TryRoslyn,22,4347,36.52941176,20,cs
aspnet_DataCommon.SQLite,6,8642,254.1764706,20,cs
aspnet_DataProtection,59,19937,64.73051948,10,cs
aspnet_Diagnostics,37,13235,92.55244755,20,cs
aspnet_Hosting,28,10475,53.17258883,30,cs
aspnet_HttpAbstractions,48,33312,94.63636364,20,cs
aspnet_Routing,33,70938,165.3566434,20,cs
aspnet_Security,64,19203,71.3866171,30,cs
aspnet_StaticFiles,8,4066,101.65,20,cs
AvilanceLtd_StarryboundServer,7,5943,81.4109589,40,cs
Azure-Readiness_DevCamp,18,3803,41.33695652,30,cs
AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet,25,80753,141.4238179,20,cs
AzureAD_azure-activedirectory-library-for-dotnet,6,1795,74.79166667,30,cs
Azure_azure-mobile-services,21,25278,92.25547445,20,cs
Azure_azure-powershell,742,592390,80.59727891,20,cs
Azure_azure-sdk-for-media-services,21,27499,87.85623003,20,cs
Azure_azure-sdk-for-media-services-extensions,2,2662,110.9166667,50,cs
Azure_azure-sdk-for-net,308,1639597,349.370765,20,cs
bchavez_Coinbase,4,2112,28.16,20,cs
bchavez_SharpFlame,66,55499,120.1277056,10,cs
belczyk_elasticops,17,3007,32.68478261,10,cs
BenFradet_RiotSharp,51,9315,36.96428571,20,cs
bordoley_SQLitePCL.pretty,5,9468,72.27480916,40,cs
brandondahler_Data.HashFunction,23,13371,78.19298246,10,cs
breeze_breeze.sharp,9,14457,64.54017857,30,cs
brucedog_u2flib,14,2119,42.38,20,cs
BruTile_BruTile,21,11208,54.40776699,20,cs
bugsnag_bugsnag-dotnet,30,9321,68.53676471,10,cs
ButchersBoy_Dragablz,21,14858,46.14285714,30,cs
buybackoff_Ractor.CLR,4,5075,90.625,20,cs
ByteBlast_Validator,2,1287,183.8571429,30,cs
cake-build_cake,162,65780,76.13425926,20,cs
castleproject_castlezmq,15,4133,59.04285714,10,cs
CatenaLogic_GitLink,6,1606,50.1875,20,cs
ceee_ReadSharp,4,24039,300.4875,40,cs
CenturyLinkCloud_ElasticLINQ,27,10269,56.1147541,20,cs
chocolatey_ChocolateyGUI,33,9992,62.0621118,10,cs
Cimpress-MCP_TimberWinR,11,8681,70.57723577,20,cs
cityindex-attic_CIAPI.CS,13,5687,34.67682927,20,cs
cityindex_LogSearchShipper,8,2893,52.6,20,cs
CityofSantaMonica_SODA.NET,4,2815,87.96875,30,cs
cliftonm_HOPE,91,58010,94.01944895,10,cs
ClothesHorse_microscope,4,2228,106.0952381,20,cs
cmatskas_Azure.Storage,5,2321,68.26470588,20,cs
code-cracker_code-cracker,13,12042,62.71875,30,cs
Code-Sharp_WampSharp,84,33546,39.41950646,10,cs
codecadwallader_codemaid,34,24248,110.7214612,10,cs
CodeConnect_SourceBrowser,17,3042,39,30,cs
coding-chick_BeatsMusicCSharp,21,2302,30.69333333,20,cs
conceptdev_xamarin-forms-samples,70,38353,95.16873449,20,cs
controlflow_resharper-postfix,26,14082,50.29285714,30,cs
CosmosOS_Cosmos,229,233272,126.5032538,10,cs
Criteo_memcache-driver,14,3704,62.77966102,20,cs
crossvertise_ActionMailerNext,12,4768,110.8837209,30,cs
d60_Cirqus,57,14985,52.95053004,10,cs
danbarua_Nancy.Hal,9,1442,29.42857143,30,cs
danbarua_NEventSocket,11,9391,79.58474576,40,cs
danielmoore_WpfIgniter,6,3450,60.52631579,30,cs
DanTup_DartVS,11,9374,36.47470817,30,cs
DarkAutumn_WinterBot,14,17780,88.01980198,20,cs
DaveSenn_PortableExtensions,3,16796,103.6790123,50,cs
developerforce_Force.com-Toolkit-for-NET,11,2910,29.1,20,cs
djungelorm_krpc,34,35189,86.03667482,10,cs
dnGrep_dnGrep,20,26360,121.4746544,20,cs
dotliquid_dotliquid,12,5380,55.46391753,20,cs
