Repository Name,Count namespaces,Sum LOC,Average LOC,Pareto category
7Pass_7Pass-Remake,25,7379,53.86131387,20
Aaronontheweb_helios,45,24104,75.79874214,20
Aaronontheweb_qdfeed,4,2139,46.5,30
Abc-Arbitrage_Zebus,46,14759,45.97819315,10
adammhaile_Elpis,31,21685,93.06866953,20
AdamsLair_treeviewadv,5,9115,100.1648352,30
adamyeager_PushbulletSharp,10,4471,48.07526882,30
AdaptiveConsulting_ReactGraph,9,2486,27.31868132,20
aegif_CmisSync,11,19242,213.8,30
affandar_durabletask,33,26660,91.30136986,20
akkadotnet_akka.net,145,211471,71.05880376,10
AndresTraks_BulletSharp,34,20642,135.8026316,10
andyfmiller_LtiLibrary,14,9228,59.53548387,20
appium_appium-dotnet-driver,25,8706,59.2244898,20
ArcticEcho_Phamhilator,9,2511,71.74285714,10
arenanet_socknet,15,9438,121,30
ArxOne_MrAdvice,43,15467,61.13438735,20
ashmind_TryRoslyn,22,4347,36.52941176,20
aspnet_DataCommon.SQLite,6,8642,254.1764706,20
aspnet_DataProtection,59,19937,64.73051948,10
aspnet_Diagnostics,37,13235,92.55244755,20
aspnet_Hosting,28,10475,53.17258883,30
aspnet_HttpAbstractions,48,33312,94.63636364,20
aspnet_Routing,33,70938,165.3566434,20
aspnet_Security,64,19203,71.3866171,30
aspnet_StaticFiles,8,4066,101.65,20
AvilanceLtd_StarryboundServer,7,5943,81.4109589,40
Azure-Readiness_DevCamp,18,3803,41.33695652,30
AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet,25,80753,141.4238179,20
AzureAD_azure-activedirectory-library-for-dotnet,6,1795,74.79166667,30
Azure_azure-mobile-services,21,25278,92.25547445,20
Azure_azure-powershell,742,592390,80.59727891,20
Azure_azure-sdk-for-media-services,21,27499,87.85623003,20
Azure_azure-sdk-for-media-services-extensions,2,2662,110.9166667,50
Azure_azure-sdk-for-net,308,1639597,349.370765,20
bchavez_Coinbase,4,2112,28.16,20
bchavez_SharpFlame,66,55499,120.1277056,10
belczyk_elasticops,17,3007,32.68478261,10
BenFradet_RiotSharp,51,9315,36.96428571,20
bordoley_SQLitePCL.pretty,5,9468,72.27480916,40
brandondahler_Data.HashFunction,23,13371,78.19298246,10
breeze_breeze.sharp,9,14457,64.54017857,30
brucedog_u2flib,14,2119,42.38,20
BruTile_BruTile,21,11208,54.40776699,20
bugsnag_bugsnag-dotnet,30,9321,68.53676471,10
ButchersBoy_Dragablz,21,14858,46.14285714,30
buybackoff_Ractor.CLR,4,5075,90.625,20
ByteBlast_Validator,2,1287,183.8571429,30
cake-build_cake,162,65780,76.13425926,20
castleproject_castlezmq,15,4133,59.04285714,10
CatenaLogic_GitLink,6,1606,50.1875,20
ceee_ReadSharp,4,24039,300.4875,40
CenturyLinkCloud_ElasticLINQ,27,10269,56.1147541,20
chocolatey_ChocolateyGUI,33,9992,62.0621118,10
Cimpress-MCP_TimberWinR,11,8681,70.57723577,20
cityindex-attic_CIAPI.CS,13,5687,34.67682927,20
cityindex_LogSearchShipper,8,2893,52.6,20
CityofSantaMonica_SODA.NET,4,2815,87.96875,30
cliftonm_HOPE,91,58010,94.01944895,10
ClothesHorse_microscope,4,2228,106.0952381,20
cmatskas_Azure.Storage,5,2321,68.26470588,20
code-cracker_code-cracker,13,12042,62.71875,30
Code-Sharp_WampSharp,84,33546,39.41950646,10
codecadwallader_codemaid,34,24248,110.7214612,10
CodeConnect_SourceBrowser,17,3042,39,30
coding-chick_BeatsMusicCSharp,21,2302,30.69333333,20
conceptdev_xamarin-forms-samples,70,38353,95.16873449,20
controlflow_resharper-postfix,26,14082,50.29285714,30
CosmosOS_Cosmos,229,233272,126.5032538,10
Criteo_memcache-driver,14,3704,62.77966102,20
